"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity"
"192",10,0.5,1,12,604,328,472,174,0.711110218508997,0.620931549823537,0.471887417218543,0.776349614395887,0.41
"193",10,0.5,1,13,306,234,304,146,0.6233509885844,0.428359338612017,0.357533347911655,0.676991150442478,0.434944237918216
"194",10,0.5,1,14,233,235,343,321,0.415646509187663,0.0235972676847943,0.0332952165971159,0.42057761732852,0.406574394463668
"195",10,0.5,1,15,204,167,250,213,0.587265439447004,0.148,0.181372549019608,0.489208633093525,0.400479616306954
"196",10,0.5,1,16,910,485,580,93,0.898855077958612,0.82974352803658,0.498060155806635,0.907278165503489,0.455399061032864
"197",10,0.5,1,17,306,175,299,149,0.666543793758984,0.480862949759271,0.451028653374149,0.672527472527473,0.369198312236287
"198",10,0.5,1,18,1584,956,1331,649,0.727454443239314,0.500605123004667,0.410715153281834,0.70935960591133,0.418014866637516
"199",10,0.5,1,19,411,274,521,358,0.684810789148694,0.289627579252663,0.355136268343816,0.53446033810143,0.344654088050314
"200",10,0.5,1,20,196,127,190,129,0.662873089056054,0.337765182186235,0.335688534088714,0.603076923076923,0.400630914826498
"201",11,1.125,0.002,1,147,33,367,254,0.814239401496259,0.309627837762542,0.774948979591837,0.366583541147132,0.0825
"202",11,1.125,0.002,2,529,116,903,428,0.833520477694956,0.495317477675136,0.794060302271956,0.552769070010449,0.113837095191364
"203",11,1.125,0.002,3,336,43,510,254,0.865222055352929,0.533193752077102,0.863461207267717,0.569491525423729,0.0777576853526221
"204",11,1.125,0.002,4,656,333,2854,2385,0.545598708663845,0.12420984687892,0.515632772620478,0.215718513646827,0.104486978349545
